Loading test data from: /home/sagemaker-user/evolve/EoH/examples/user_fssp_gls/TestingData/Taillard
  20x5: 10 instances
  20x10: 10 instances
  20x20: 10 instances
  50x5: 10 instances
  50x10: 10 instances
  50x20: 10 instances
  100x5: 10 instances
  100x10: 10 instances
  100x20: 10 instances
  200x10: 10 instances
  200x20: 10 instances

Warming up numba JIT...
Done.

Evaluating heuristic: experiments/eoh-problems/fssp_gls/qwen/reviews/qwen_full_3/0/best_sol.py

  20x5 inst 1/10: makespan=1286, UB=1278, gap=0.63%
  20x5 inst 2/10: makespan=1359, UB=1359, gap=0.00%
  20x5 inst 3/10: makespan=1098, UB=1081, gap=1.57%
  20x5 inst 4/10: makespan=1297, UB=1293, gap=0.31%
  20x5 inst 5/10: makespan=1250, UB=1236, gap=1.13%
  20x5 inst 6/10: makespan=1210, UB=1195, gap=1.26%
  20x5 inst 7/10: makespan=1251, UB=1239, gap=0.97%
  20x5 inst 8/10: makespan=1214, UB=1206, gap=0.66%
  20x5 inst 9/10: makespan=1237, UB=1230, gap=0.57%
  20x5 inst 10/10: makespan=1117, UB=1108, gap=0.81%
  20x5 done: avg gap=0.79%, time=8.1s

  20x10 inst 1/10: makespan=1586, UB=1582, gap=0.25%
  20x10 inst 2/10: makespan=1669, UB=1659, gap=0.60%
  20x10 inst 3/10: makespan=1508, UB=1496, gap=0.80%
  20x10 inst 4/10: makespan=1378, UB=1378, gap=0.00%
  20x10 inst 5/10: makespan=1424, UB=1419, gap=0.35%
  20x10 inst 6/10: makespan=1404, UB=1397, gap=0.50%
  20x10 inst 7/10: makespan=1484, UB=1484, gap=0.00%
  20x10 inst 8/10: makespan=1545, UB=1538, gap=0.46%
  20x10 inst 9/10: makespan=1593, UB=1593, gap=0.00%
  20x10 inst 10/10: makespan=1598, UB=1591, gap=0.44%
  20x10 done: avg gap=0.34%, time=12.2s

  20x20 inst 1/10: makespan=2298, UB=2297, gap=0.04%
  20x20 inst 2/10: makespan=2101, UB=2100, gap=0.05%
  20x20 inst 3/10: makespan=2338, UB=2326, gap=0.52%
  20x20 inst 4/10: makespan=2223, UB=2223, gap=0.00%
  20x20 inst 5/10: makespan=2300, UB=2291, gap=0.39%
  20x20 inst 6/10: makespan=2226, UB=2226, gap=0.00%
  20x20 inst 7/10: makespan=2273, UB=2273, gap=0.00%
  20x20 inst 8/10: makespan=2208, UB=2200, gap=0.36%
  20x20 inst 9/10: makespan=2237, UB=2237, gap=0.00%
  20x20 inst 10/10: makespan=2183, UB=2178, gap=0.23%
  20x20 done: avg gap=0.16%, time=20.3s

  50x5 inst 1/10: makespan=2724, UB=2724, gap=0.00%
  50x5 inst 2/10: makespan=2838, UB=2834, gap=0.14%
  50x5 inst 3/10: makespan=2621, UB=2621, gap=0.00%
  50x5 inst 4/10: makespan=2762, UB=2751, gap=0.40%
  50x5 inst 5/10: makespan=2863, UB=2863, gap=0.00%
  50x5 inst 6/10: makespan=2829, UB=2829, gap=0.00%
  50x5 inst 7/10: makespan=2725, UB=2725, gap=0.00%
  50x5 inst 8/10: makespan=2683, UB=2683, gap=0.00%
  50x5 inst 9/10: makespan=2552, UB=2552, gap=0.00%
  50x5 inst 10/10: makespan=2782, UB=2782, gap=0.00%
  50x5 done: avg gap=0.05%, time=41.3s

  50x10 inst 1/10: makespan=3025, UB=3025, gap=0.00%
  50x10 inst 2/10: makespan=2908, UB=2892, gap=0.55%
  50x10 inst 3/10: makespan=2871, UB=2864, gap=0.24%
  50x10 inst 4/10: makespan=3071, UB=3064, gap=0.23%
